Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,4.998220496,,,,5.474349075,5.474349075,,,,,5.627902457,,,,
Albania, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,14.41172618,,,11.65207275,11.28083536,8.34560807,8.168406728,7.337261448,7.108814532,6.607231404,5.721158856,2.083888527,4.903908855,4.871445647,1.236789633,1.102267456,1.174491273,1.137434543,1.105205551,1.059023602,0.851714604,1.017478625,1.017478625,1.103696086,1.129391108,0.22824372
Algeria, World,Import,  All Products,AHS Weighted Average (%),,,,,,15.44094089,,,,16.92663645,17.25977704,,,15.16061542,12.99305217,11.97114569,,10.22522507,9.931624916,9.627678514,9.195490094,9.361407063,12.14729403,,,,8.351526492,8.274637857,8.852635604,9.379156409,,,,,
Angola, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,6.162609417,7.084666661,7.084666661,,9.165561359,9.149432329,9.232147476,8.359603326,7.605537095,7.522487045,10.29924187,9.383298197,9.379806516,7.770918242,7.680441837,6.519359275,9.233434776,11.33184851,8.851875415
Antigua and Barbuda, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,20.30108155,15.38794046,,,,,12.17525462,11.72908387,13.56626973,,14.80299593,11.55941063,11.55941063,11.99761053,14.51070904,9.948276082,12.03352209,11.8753322,12.71593662,14.89385941,13.07249817,13.07249817,13.07249817,
Argentina, World,Import,  All Products,AHS Weighted Average (%),,,,,,12.53088357,,8.343798368,13.3268214,13.92851764,15.66742526,11.28783312,10.51924172,9.245740642,12.01338084,12.87379757,5.960138778,5.218348603,5.491173299,5.829580539,5.386475779,5.929926915,5.991948573,5.675683151,6.015493937,6.274821774,6.626655398,7.345068729,7.533329552,7.934623355,7.415004281,7.259393159,6.875389169,6.505762043,6.449004169
Armenia, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,2.431135452,,2.26503786,2.40790389,2.275164736,1.937054055,2.418605402,2.26867409,2.68694908,2.796567344,3.075486101,2.405788929,2.229225694,2.389059608,2.929875016,2.1304385,2.217306264,,4.089890349,3.106203518,3.610818356,
Aruba, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,,9.9681454,9.518090925,9.69445209,,10.01850092,10.15830485,10.29854226,10.14913456,12.12078052,,9.660332448,
Australia, World,Import,  All Products,AHS Weighted Average (%),,,,18.56317303,,9.749194812,,,6.809230555,6.823238312,6.490103842,6.095333095,5.827702316,4.795427077,3.689701629,3.73573442,3.693014137,3.068468308,3.379440538,3.447243331,3.153997968,3.672577144,2.803818548,1.773046202,1.813415808,1.841920289,1.910976915,1.9030303,1.181247836,0.894543925,0.863904018,0.772975346,0.712769184,0.811965386,1.016898525
Austria, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,2.521986643,3.170670569,2.466249804,2.330717022,2.139332213,2.543826992,2.3650606,2.263398569,1.72842807,1.745770214,1.992299883,1.438612968,1.364091746,1.447401437,1.999294834,2.049864431,2.063932081,1.994114873,1.945164779,2.190367604,1.971434392,1.610162275,1.424877708
Azerbaijan, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,6.752631918,,,6.09259762,,4.036472511,3.855295217,4.40233327,,4.064860066,4.760374949,4.740526679,5.226646,5.189608973,,,,11.98376294,5.932679458,6.016795071,5.451596924
"Bahamas, The", World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,28.58325953,,,25.02379918,,,,23.87274183,,,,20.2192802,19.45631604,,19.77664064,19.70620018,18.66090442,18.56402043,,17.04578276,,,,17.41447223
Bahrain, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,10.3602068,8.511485137,5.792245676,5.761023235,5.774417484,5.139744089,4.959627716,4.477493663,4.225617975,4.612726698,5.154671434,3.15125868,3.15125868,3.757783296,2.92813786,3.295243589,3.125002933,7.825012141,4.279404528,3.504255626,2.016745776,2.085583487,3.711169716
Bangladesh, World,Import,  All Products,AHS Weighted Average (%),,88.434173,,,,,,,,,22.13940571,,18.10483992,17.87937701,18.3105471,19.05994803,15.79946243,22.70472429,21.62292378,9.230809819,7.713031507,10.71007328,9.939475904,9.625906238,12.83912088,12.09292571,,11.82304642,,,,,,,
Barbados, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,22.7668892,21.01327104,20.34164575,20.78107571,21.44620887,15.48004541,19.55259594,12.66036587,14.78796912,,,15.7735749,13.15096034,8.424247581,14.20907517,14.22392162,,,,,,11.82249387,12.2391511,14.57930568
Belarus, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,7.631917945,7.914379119,8.80469829,,,,,,2.746387371,2.788882463,2.625176504,2.342820415,2.474735058,2.963884678,2.385390124,1.965478239,1.818530827,1.51414042,1.654047995,2.82017184,1.761465128,2.265922987,
Belgium, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,2.940886409,3.657940575,3.258698667,3.438156111,2.50430984,3.086772044,2.759873538,2.554883999,2.182658476,2.30908045,2.552669839,1.80657499,1.868375,1.819629652,2.078209847,2.117853799,2.170453039,2.034774449,1.909451386,1.992563436,1.552779779,1.237302186,0.870826673
Belize, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,15.63194058,,,11.18786316,,10.71706164,11.65136553,11.35176102,12.28048142,11.16036257,9.566976048,9.2735308,8.958668565,11.68341265,11.72511349,8.46798127,8.164119815,10.04994546,10.04994546,10.03606975,10.52377162,10.38591082,11.07787784,11.17027831,18.69270146,17.79348101,18.24295564
Benin, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,12.62492231,12.69647627,12.6931209,12.69535184,12.67882733,11.56917714,11.03486168,11.03486168,11.03486168,11.03486168,11.15133993,11.15133993,11.15134278,10.64455816,11.80681843,11.20499501,17.84367765,15.25304969,9.86275133,9.86275133,10.88928014,10.31595975
Bermuda, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,18.75412632,18.98482983,18.67630397,18.60659392,17.06098103,17.44072229,17.22694819,15.27498121,18.66670639,18.7348609,20.85185959,27.5852167,103.1714846,24.07426023,23.83596509,30.262656
Bhutan, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,21.50575897,,9.968624963,,,,,,,,,,,,,,,
Bolivia, World,Import,  All Products,AHS Weighted Average (%),,,,,,9.438706936,9.952716487,9.48574283,9.309265172,9.309265172,9.03689301,9.063314809,8.456031943,8.714802228,9.247307913,8.557929281,5.481296196,5.569268524,4.172704563,4.330404023,4.038199457,3.785879689,5.573359717,4.045335929,3.856425547,4.234678158,4.491709239,4.74911485,4.754228145,6.097741062,4.731763123,4.731763123,5.18301609,5.12197576,5.076378787
Bosnia and Herzegovina, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,8.878946756,6.364492216,5.964999041,3.653090199,3.042747248,2.562865602,2.423661658,2.393751781,2.582831463,1.219133618,1.233034115,2.534871019,2.76067005,17.88589647,2.856763518,2.798304189,4.093365558
Botswana, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,1.659957181,1.631784139,0.990094735,9.070272657,0.919225523,0.846867655,0.881667288,0.830342298,0.839503702,0.824791363,0.829003946,1.096063949,3.907548415,0.503424096,0.606175109,0.563674429,0.593520288,1.118231114,0.329812093,0.956890147,0.8024463,0.954854705,3.277069325
Brazil, World,Import,  All Products,AHS Weighted Average (%),,31.91914164,18.95028819,16.55546058,15.70514622,13.01722863,13.26339897,10.97170919,14.83437749,14.00228776,15.93542039,12.30954381,12.6885225,10.46547731,10.00649634,9.526058355,7.673129829,7.17163174,6.703654954,6.765501904,6.744038698,7.586713363,7.762087066,7.836995018,7.757557506,10.0804442,7.791236655,8.267015346,8.00799909,8.592818019,7.947757633,7.974789735,8.408400932,7.76483858,7.263914732
Brunei, World,Import,  All Products,AHS Weighted Average (%),,,,,4.427998495,,,,,11.25128357,11.25587748,,,10.88108062,10.7413716,11.89807052,6.123352514,,5.458619218,5.235614052,1.521313567,1.415769571,2.512722108,0.950447646,0.52667591,0.521835471,0.461292372,0.50269553,0.49788012,0.030816434,0.025497059,0.020957604,0.021071515,0.0170756,0.012218504
Bulgaria, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,14.00998088,8.698239419,5.74499631,10.31062677,5.599078606,9.558691198,9.667032802,9.603398162,9.120112569,2.074149866,1.656532279,1.496826256,1.446226346,1.344808257,1.34584529,0.543182021,0.810389081,1.052360182,1.458164034,1.698795732,1.100330649,1.123171361,1.376580861,1.254310077,1.370120529,1.224341809
Burkina Faso, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,11.15925667,11.45156078,11.29902678,11.38244141,11.02654791,8.731899866,8.769983208,8.769983208,8.769983208,8.699862198,8.477817551,8.415221964,8.415797877,7.919250659,6.862610368,6.9320048,9.077290679,7.788810147,5.835250526,7.14594325,7.300660346,7.520003534
Burundi, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,13.33742724,13.80400191,,21.10476857,17.49371717,12.28306112,10.71557314,13.84239028,7.995211931,6.833271805,6.988779768,5.389426373,5.991766321,6.130069812,5.913103228,,7.891748899,8.515746752,11.31246861,8.529181463,9.181132262
Cambodia, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,16.42737779,16.18088313,16.2884078,,10.81109309,10.46140509,10.53034267,9.913060232,9.929838773,9.503967129,8.936853576,9.083886765,,4.853648866,,9.769556392,9.210131979,,6.219013426,6.213305083,5.369351317,2.099769045
Cameroon, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,14.49041207,,,,,,13.48719841,13.89689278,14.26775478,14.26775478,14.4529723,13.80758394,13.01215706,13.00303717,11.58474122,13.00303717,12.65109601,11.7021628,12.9886352,12.70323956,,,,,15.4596038,,,18.33754026
Canada, World,Import,  All Products,AHS Weighted Average (%),,7.018914899,,,,3.592836828,,6.694155076,5.429328149,1.988450738,1.444284864,1.006376372,1.305688734,1.596224506,1.489320069,2.459301628,1.51021401,1.459446671,1.452683191,1.540870473,1.535955781,1.704988921,1.459019025,1.382041736,1.401228008,1.447135449,1.433732385,1.65210964,1.556859434,1.517800804,1.471272924,1.51363833,1.486836763,2.354619233,1.425606905
Cape Verde, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,12.25879319,13.75005787,13.18606485,12.2252622,12.2252622,11.930661,11.05340545,10.29932297,10.60075163,10.8869065,10.93232938,10.88656666,12.52226788,11.23724212,11.70074526,11.55267279,12.18426569,9.960210487,12.55988705
Cayman Islands, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.39210167,
Central African Republic, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,13.35728773,,13.43532924,,,,18.29815689,16.86271898,29.8573594,29.8573594,29.48746332,29.86546037,15.23082026,15.2264259,15.2264259,15.2264259,15.50796059,17.44072251,16.60778,,16.4359225,16.4359225,16.4359225,,,,,15.63914851
Chad, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,14.5800679,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile, World,Import,  All Products,AHS Weighted Average (%),,,,,10.95096278,10.94453083,10.93425267,10.62613198,10.96824569,10.96824569,10.94337815,9.958257217,9,8,6.958131941,5.772906148,3.95183417,3.988538386,2.356322301,2.948608615,2.268618229,1.918938919,2.07741527,1.976155519,1.784722477,5.893790582,5.81235456,0.638193487,5.885998836,0.489163313,0.485304769,0.428408742,0.43010287,0.429103713,0.462849351
China, World,Import,  All Products,AHS Weighted Average (%),,,,,32.17476594,30.2929558,27.92503485,,19.76445349,15.81593417,15.50496197,14.46489971,14.6721566,14.1074925,7.714878023,6.4820125,5.963647704,4.86656557,4.250932992,5.06589919,4.472624504,3.939502301,4.650011548,5.989479435,5.12122358,4.463579077,4.735425019,4.521898516,3.544459174,3.833481265,3.389163261,2.53280411,2.470745867,2.310405277,2.181217997
Colombia, World,Import,  All Products,AHS Weighted Average (%),,,,6.452630401,10.55276333,,11.63532915,11.90775933,11.18868693,11.31473121,11.1827207,10.68059724,10.96488712,10.82749375,11.2838653,11.05844751,9.769715197,9.622943209,8.748596592,8.819873707,8.718718503,8.230327276,9.016716107,5.512287003,4.434544005,4.507823094,4.212015511,6.538842386,6.975724124,4.397198381,3.284755146,2.924290101,2.401437401,2.578270975,2.83163951
Comoros, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,4.584896153,,6.060330077,6.060330087,6.190975728,6.481745233,7.411955385,5.043875866,274.0727953,10.43386618,7.03737628,4.244582254,4.578687421,4.336266172,
"Congo, Dem. Rep.", World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,9.016857479,9.136100051,,,10.82673206,8.398442771,,
"Congo, Rep.", World,Import,  All Products,AHS Weighted Average (%),,,,,,,16.34820244,,,,,,,,,,,,,15.43027237,15.40020285,15.40020285,15.40020285,15.40020285,9.72318102,15.85016133,15.77711135,11.54925288,,,,,,,18.87161052
Cook Islands, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,13.95459849,,,,,,,,,,,,
Costa Rica, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,8.557878337,9.036618153,7.525662015,6.315460535,4.06620733,3.697024156,4.439896386,4.225615448,3.440130923,4.040410993,4.142094503,3.320450405,3.759431006,3.31243359,2.175158014,2.072284193,2.125272004,1.763583884,1.796049821,1.731811948,1.783202565,1.781141956,1.910699215,1.797166903,1.619715743,1.51377453,1.43299621,1.35859479
Cote d'Ivoire, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,4.100497021,,,,,7.222995186,9.687751132,9.606871437,8.544287994,7.606455979,7.294156663,6.561754066,6.561753791,7.477710243,7.138904915,6.950724017,6.592001767,6.591982913,6.325494832,7.998760144,8.157703609,10.28116011,10.17406451,7.691184507,7.630650682,7.630650682,7.252775754
Croatia, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,4.505068837,4.762322968,2.549711445,1.267375327,1.161769754,1.105387426,1.127897052,1.123156435,1.310590218,1.340147737,1.338429116,1.440352452,1.383712399,2.628797663,2.873298649,2.98645221,1.981505211,1.458895592,2.138787846,1.728279179,1.484365352,1.232723461
Cuba, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,8.781040917,8.454500514,9.152836509,8.792198373,9.006731167,7.781490049,7.259703674,9.24613966,,,,,,,,,,8.017600356,7.152679554,7.904925964,8.541820704,8.832035684,8.912306953,9.164119491
Cyprus, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,10.67237543,9.752606443,10.95436953,8.925157244,5.242446659,6.784199311,8.83108301,,6.144745825,4.398294191,3.669940882,3.544015051,3.581709898,3.193549971,3.180638239,2.344612789,1.999632855,2.218023417,2.24149381,2.148816924,2.506572345,2.271618427,1.903531392,2.756185635,2.266618264,2.178611948,1.776605321
Czech Republic, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,5.82558979,5.448268621,5.168328969,2.794976806,4.315876663,4.208388123,4.325660869,4.347833646,1.691155249,2.376837516,1.855521257,1.997591572,1.347348952,1.335803639,1.652078582,1.110242078,1.084701738,1.063798922,1.640063774,1.601912716,1.670231577,1.548900532,1.409124995,1.526940102,1.24759874,1.194193478,1.180661107
Denmark, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,4.262397821,4.43896232,2.922763043,2.880869997,2.645764715,3.241621389,3.10217045,3.183449477,2.369832829,2.274297107,3.354496876,2.627929398,2.151401033,1.925018193,2.674535025,2.852602889,2.770422361,2.537192518,2.41572969,2.631641821,2.333206992,2.080338093,2.021300833
Djibouti, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,17.26710375,,,,,,,,,,,,,
Dominica, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,18.61157372,15.9768373,,15.95893467,13.81980743,13.50719846,14.81696839,14.1980914,13.86654855,12.77092484,7.775944273,7.852221774,,,11.10850282,,8.152849561,8.699945629,,,8.406453369,8.295590122,,,7.838993222,,
Dominican Republic, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,8.105973691,9.204069115,8.910773219,8.924482007,9.178937027,8.332258131,4.45538417,5.713328227,6.802396263,4.32984135,6.291108795,6.197073888,6.366286501,6.935056819,6.038674648,4.595200269,4.20448793,4.204603362,8.884132671,3.90017766,3.802671599,3.97991102
East Timor, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,2.528960423,2.529503188,
Ecuador, World,Import,  All Products,AHS Weighted Average (%),,,,,,8.145588317,11.47478278,11.04754339,10.94859039,10.39440983,10.7035286,11.11177345,9.577716727,11.16489989,10.66643909,9.896748074,8.948531353,8.692584638,6.156176585,5.903297458,5.142059981,4.496898964,6.109319659,4.199621083,4.342143059,8.150484051,5.08758697,6.379375352,6.810277579,7.034389412,7.354558096,8.106290966,6.21163428,4.626748762,5.186430961
"Egypt, Arab Rep.", World,Import,  All Products,AHS Weighted Average (%),,,,,,,,17.05230943,,,14.16643322,16.68444207,16.81926652,16.71639037,19.8923487,15.04287985,10.63449769,8.763490117,10.04719322,8.919613445,8.024207961,8.261510119,9.712455119,7.71084942,7.471964273,8.546159313,7.427069321,7.082742091,6.631834563,7.414817327,8.186852968,10.43048811,,,
El Salvador, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,9.145073206,7.724722271,7.373027792,6.337529841,6.381137838,6.840420251,6.894040896,4.345707313,6.988300189,4.20014648,7.483698214,3.933334624,4.823445579,3.015133905,2.426163947,4.79037791,4.796446668,2.276877314,2.121576954,1.748926283,1.787900323,2.269108858,2.068807882,1.935750642,2.040782352,1.910723073,1.876290241,2.212969267
Estonia, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,0.392044904,0.037532933,0.031233663,0,0,0.977247139,1.021289096,0.912676791,0.893047893,2.877734551,2.819051472,2.568428,2.885849396,2.539925406,2.15356931,2.059819386,1.914769773,1.677618066,1.983414288,2.84860782,2.821429173,2.738589551,2.702996951,2.530626278,2.676755649,2.249241188,1.949789436,1.857536379
Eswatini, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,0.976330417,2.595444634,8.771752587,10.17852366,10.44473201,9.441934558,8.668946015,8.321695943,5.950157386,9.528182998,5.051201004,9.028672655,5.46524196,0.524760043,0.57604053,0.988487782,1.176397694,0.661995915,1.483704084,2.37582377,2.269949519,2.139633121,4.218692967
Ethiopia(excludes Eritrea), World,Import,  All Products,AHS Weighted Average (%),,,,,,,,18.16232271,,,,,,12.10691026,13.4785377,,,,12.02731276,,10.0524908,10.35534972,10.24191144,10.48108921,9.96204924,,,12.14103856,,,12.12922293,,,12.6605416,
European Union, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,2.410779828,3.372222055,2.452782238,2.524344786,2.242314726,2.463410274,2.295379087,2.235819057,1.716448907,1.847820576,2.127831958,1.587811608,1.456361364,1.487501444,2.008132464,2.161253919,2.075640545,1.896732673,1.802213177,1.912059852,1.722169935,1.518019001,1.337385749
Fiji, World,Import,  All Products,AHS Weighted Average (%),,,,,,,,,,,,,,,,9.50715387,10.44569231,65.8915647,8.919130554,9.070645407,9.97397333,12.1474348,11.27824114,19.88481673,11.74768215,12.0230262,91.59389656,11.11876702,,16.04823766,16.33561379,23.96542568,16.6242623,8.350333248,
